pic	age_group	mean_val_us	mean_aro_us	mean_val_ch	mean_aro_ch
abuse_bw.png	18-27	1.95454545454545	6.88235294117647	2.66666666666667	5.85714285714286
abuse_bw.png	28-37	1.8	6.57142857142857	3.03636363636364	4.44615384615385
abuse_bw.png	38-47	2.46666666666667	6.25	3.2	4.54166666666667
abuse_bw.png	48-57	1.64285714285714	7.19047619047619	3	4.5
abuse_bw.png	58+	1.3030303030303	6.25	4	6
abuse2_bw.png	18-27	1.71428571428571	6.80952380952381	2.375	4.91666666666667
abuse2_bw.png	28-37	1.57894736842105	6.39130434782609	2.63829787234043	5
abuse2_bw.png	38-47	1.125	6.22222222222222	2.53333333333333	2.84
abuse2_bw.png	48-57	1.35714285714286	7	3.5	4
abuse2_bw.png	58+	1.68965517241379	6.84615384615385	2.33333333333333	4
accident_bw.png	18-27	1.59090909090909	6.70588235294118	2.5	6.23809523809524
accident_bw.png	28-37	1.1	6.71428571428571	2.16363636363636	4.21875
accident_bw.png	38-47	1.26666666666667	7.0625	1.73333333333333	3.54166666666667
accident_bw.png	48-57	1.71428571428571	7.66666666666667	1.66666666666667	4.66666666666667
accident_bw.png	58+	1.06060606060606	6.78571428571429	1	4
accident2_bw.png	18-27	2.15	6.94444444444444	2.45	5
accident2_bw.png	28-37	3.05882352941176	7.47058823529412	2.43396226415094	4.5
accident2_bw.png	38-47	1.71428571428571	6.54166666666667	2.5	4.95238095238095
accident2_bw.png	48-57	1.93333333333333	6.75	2.83333333333333	4.42857142857143
accident2_bw.png	58+	2.39285714285714	6.18518518518519	3	7
ache_bw.png	18-27	2.90909090909091	3.17647058823529	3.79166666666667	4.19047619047619
ache_bw.png	28-37	3.6	4.28571428571429	3.85454545454545	4.15384615384615
ache_bw.png	38-47	3.26666666666667	4.5	3.73333333333333	4.21739130434783
ache_bw.png	48-57	3.28571428571429	4.76190476190476	3.5	4.83333333333333
ache_bw.png	58+	2.90909090909091	5.21428571428571	6	5.5
ache2_bw.png	18-27	4.42857142857143	4.23809523809524	3.3125	4.58333333333333
ache2_bw.png	28-37	3.57894736842105	4.91304347826087	3.80851063829787	4.6304347826087
ache2_bw.png	38-47	3	4.625	3.7741935483871	4.68
ache2_bw.png	48-57	3.35714285714286	5.25	4.375	4.875
ache2_bw.png	58+	3.24137931034483	5.03846153846154	3.33333333333333	5.33333333333333
acrobat_bw.png	18-27	7	6	6.91666666666667	5.78125
acrobat_bw.png	28-37	6.875	6.1304347826087	6.51020408163265	6.06818181818182
acrobat_bw.png	38-47	7.17391304347826	5.53333333333333	6.26315789473684	6.52380952380952
acrobat_bw.png	48-57	7.1304347826087	5.68421052631579	7	6.7
acrobat_bw.png	58+	7.10344827586207	5.6	7	6
acrobat2_bw.png	18-27	6.3	6.55555555555556	6.7	6.125
acrobat2_bw.png	28-37	7.05882352941176	6.23529411764706	6.54716981132075	6.13559322033898
acrobat2_bw.png	38-47	6.5	6.625	6.2	6.38095238095238
acrobat2_bw.png	48-57	6.13333333333333	6.16666666666667	5.5	6.14285714285714
acrobat2_bw.png	58+	6.71428571428571	5.88888888888889	6	6
acrobat3_bw.png	18-27	6.68181818181818	5.70588235294118	6.625	6.14285714285714
acrobat3_bw.png	28-37	6.8	5.92857142857143	6.78181818181818	6.58461538461538
acrobat3_bw.png	38-47	6.8	6.4375	6.53333333333333	6.5
acrobat3_bw.png	48-57	7.14285714285714	6.23809523809524	7.16666666666667	6.66666666666667
acrobat3_bw.png	58+	7.51515151515152	6.39285714285714	8	6
aerobics_bw.png	18-27	6.42857142857143	5.57142857142857	6.5	5.68
aerobics_bw.png	28-37	6.36842105263158	5.39130434782609	6.65957446808511	5.6304347826087
aerobics_bw.png	38-47	7.6875	6	6.73333333333333	6.36
aerobics_bw.png	48-57	7.57142857142857	5.375	6.1875	6.125
aerobics_bw.png	58+	7.37931034482759	6.30769230769231	7	5.66666666666667
affection_bw.png	18-27	7.9	4.93333333333333	7.16666666666667	5.40625
affection_bw.png	28-37	7.91666666666667	5.47826086956522	7.20408163265306	6.73333333333333
affection_bw.png	38-47	7.60869565217391	5.93333333333333	7.05263157894737	6.04761904761905
affection_bw.png	48-57	7.78260869565217	5.52631578947368	7.14285714285714	5.7
affection_bw.png	58+	7.72413793103448	5.48	7	5
affection2_bw.png	18-27	7.6	5.11111111111111	7	6.66666666666667
affection2_bw.png	28-37	7.52941176470588	6.58823529411765	7.0188679245283	6.69491525423729
affection2_bw.png	38-47	8.21428571428571	5.95833333333333	7.25	6.38095238095238
affection2_bw.png	48-57	7.73333333333333	5.83333333333333	7	6.28571428571429
affection2_bw.png	58+	7.89285714285714	5.85185185185185	7	NA
affection3_bw.png	18-27	6.9	5.06666666666667	7.16666666666667	5.625
