id	gender	age	outcome	multiple_single	study	acc_rate_irrelevant	acc_rate_probe	acc_rate_target	overall_acc_irrelevant	overall_acc_probe	overall_acc_target	rt_mean_irrelevant	rt_mean_probe	rt_mean_target	overall_acc_allmain	dataset	rt_mean_diff	acc_rate_diff	acc_rate_itarget	acc_rate_nontarget	overall_acc_itarget	overall_acc_nontarget	rt_mean_itarget	rt_mean_nontarget	rt_mean_ti_diff	acc_rate_ti_diff
id19	1	25	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	1	0.96875	0.71875	0.984375	0.96875	0.71875	463.261904755777	470.838709666784	639.695652168366	0.98125	12	7.57680491100706	-0.03125	NA	NA	NA	NA	NA	NA	176.433747412588	-0.28125
id20	2	21	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9375	0.8125	0.5625	0.9375	0.8125	0.5625	559.563975000007	617.856923077432	689.728277777451	0.9125	11	58.2929480774254	-0.125	NA	NA	NA	NA	NA	NA	130.164302777444	-0.375
id21	2	22	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9609375	0.84375	0.625	0.9609375	0.84375	0.625	476.730601626403	544.049074064888	659.035550005501	0.9375	11	67.3184724384856	-0.1171875	NA	NA	NA	NA	NA	NA	182.304948379098	-0.3359375
id23	2	20	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984375	1	0.870967741935484	0.984375	1	0.84375	476.484126984447	483.562499999152	521.407407407188	0.9875	11	7.07837301470573	0.015625	NA	NA	NA	NA	NA	NA	44.9232804227408	-0.113407258064516
id24	2	23	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.975806451612903	0.935483870967742	0.71875	0.9453125	0.90625	0.71875	392.776859502793	414.344827586319	495.304347826396	0.9375	12	21.5679680835262	-0.0403225806451614	NA	NA	NA	NA	NA	NA	102.527488323603	-0.257056451612903
id26	2	22	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.976190476190476	1	0.5625	0.9609375	1	0.5625	401.040650406504	381.15625	565.777777777778	0.96875	11	-19.8844004065041	0.0238095238095238	NA	NA	NA	NA	NA	NA	164.737127371274	-0.413690476190476
id27	2	26	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9375	0.967741935483871	0.53125	0.9375	0.9375	0.53125	449.733333332188	466.800000000027	557.05882352948	0.9375	11	17.0666666678396	0.030241935483871	NA	NA	NA	NA	NA	NA	107.325490197293	-0.40625
id28	2	30	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984	1	0.9375	0.9609375	1	0.9375	457.225983737158	449.684437506221	552.134366667209	0.96875	12	-7.54154623093672	0.016	NA	NA	NA	NA	NA	NA	94.9083829300508	-0.0465
id29	2	29	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.8828125	0.875	0.90625	0.8828125	0.875	0.90625	551.584070796472	579.999999999926	650.689655172254	0.88125	11	28.415929203454	-0.0078125	NA	NA	NA	NA	NA	NA	99.1055843757815	0.0234375
id30	2	27	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.952380952380952	0.9375	0.65625	0.9375	0.9375	0.65625	457.841666666718	490.366666666644	582.80952381011	0.9375	11	32.5249999999263	-0.0148809523809523	NA	NA	NA	NA	NA	NA	124.967857143392	-0.296130952380952
